id,MPA_Name,Site_ID,Site_Name,Year,Latitude,Longitude,Zone,Percent.Coral,SE.Coral,Percent.SoftCoral,SE.SoftCoral,Percent.CCA,SE.CCA,Percent.Bleached,SE.Bleached,Percent.Rubble,SE.Rubble,Percent.OthAlgae,SE.OthAlgae
74,Kofiau dan Pulau Boo Marine Protected Area,2220,Gebe Besar,2010,-1.2,129.65,Use,37.667,2.333333333,0,0,17.667,1.201850425,0,0,12.333,2.603416559,0.333,0.333333333
75,Kofiau dan Pulau Boo Marine Protected Area,2221,Tolobi 1,2009,-1.18,129.68,Use,26.667,2.666666667,12.667,1.452966315,0,0,0,0,27,2,7,1.732050808
76,Kofiau dan Pulau Boo Marine Protected Area,2222,Tolobi 2,2009,-1.16,129.7,Use,37.667,0.666666667,3,0.577350269,0,0,0,0,25,2,3,1.527525232
77,Kofiau dan Pulau Boo Marine Protected Area,2222,Tolobi 2,2011,-1.16,129.7,Use,23.667,3.48010217,9,3.214550254,2,0,0,0,11.333,4.096068576,21,1.154700538
78,Kofiau dan Pulau Boo Marine Protected Area,2222,Tolobi 2,2013,-1.16,129.7,Use,6,3.464101615,5.333,2.333333333,6,1,0,0,12.333,3.844187532,23,3.055050463
79,Kofiau dan Pulau Boo Marine Protected Area,2222,Tolobi 2,2014,-1.16,129.7,Use,14.667,2.185812841,3,2.081665999,11.333,0.666666667,0,0,26.333,4.255715112,6.333,2.40370085
80,Kofiau dan Pulau Boo Marine Protected Area,2222,Tolobi 2,2016,-1.16,129.7,Use,19.333,7.356025497,5.333,2.848001248,0,0,0,0,34.667,9.351173426,12.667,2.333333333
81,Kofiau dan Pulau Boo Marine Protected Area,2223,Tolobi 3,2009,-1.16,129.74,Use,47,1.527525232,6,1.527525232,0,0,0,0,22,2.516611478,2.667,2.185812841
82,Kofiau dan Pulau Boo Marine Protected Area,2223,Tolobi 3,2013,-1.16,129.74,Use,11.667,2.905932629,3.667,1.855921454,4,1,0,0,31.333,3.844187532,5.667,1.855921454
83,Kofiau dan Pulau Boo Marine Protected Area,2224,Jailolo Besar,2009,-1.15,129.77,Use,12.333,1.333333333,17.333,0.333333333,0,0,0,0,12.333,2.333333333,22.333,1.452966315
84,Kofiau dan Pulau Boo Marine Protected Area,2224,Jailolo Besar,2013,-1.15,129.77,Use,3,1.154700538,1.333,0.333333333,5,0.577350269,0,0,40.667,7.753135566,4.667,3.282952601
85,Kofiau dan Pulau Boo Marine Protected Area,2224,Jailolo Besar,2014,-1.15,129.77,Use,6,2.516611478,1,0,6.333,2.40370085,0,0,44.667,3.844187532,18.667,1.333333333
86,Kofiau dan Pulau Boo Marine Protected Area,2224,Jailolo Besar,2016,-1.15,129.77,Use,18.667,0.666666667,4.333,1.333333333,0,0,0,0,28.333,9.492687244,27.667,6.064468466
87,Kofiau dan Pulau Boo Marine Protected Area,2225,Taupadwar,2009,-1.18,129.48,Use,31,4.932882862,15.667,1.763834207,0,0,0,0,21.333,4.484541349,3,1.154700538
88,Kofiau dan Pulau Boo Marine Protected Area,2225,Taupadwar,2010,-1.18,129.48,Use,40,1,0,0,0.667,0.333333333,0,0,20,2.081665999,24,2
89,Kofiau dan Pulau Boo Marine Protected Area,2225,Taupadwar,2011,-1.18,129.48,Use,28.333,2.905932629,10.333,2.603416559,1.667,0.666666667,0.667,0.333333333,12,3.055050463,1.333,0.666666667
90,Kofiau dan Pulau Boo Marine Protected Area,2225,Taupadwar,2013,-1.18,129.48,Use,22,2.081665999,7.667,1.201850425,9.667,3.282952601,0,0,11,2.309401077,16.667,1.201850425
91,Kofiau dan Pulau Boo Marine Protected Area,2225,Taupadwar,2014,-1.18,129.48,Use,19.333,0.333333333,9.333,5.897268671,15.333,2.333333333,0,0,12,2.081665999,3,1.732050808
92,Kofiau dan Pulau Boo Marine Protected Area,2225,Taupadwar,2016,-1.18,129.48,Use,22,3.605551275,8.333,2.333333333,0.333,0.333333333,0,0,12.667,0.881917104,7,2.516611478
93,Kofiau dan Pulau Boo Marine Protected Area,2226,North Boo Kecil,2009,-1.17,129.45,Use,40.333,2.848001248,27.667,4.333333333,0,0,0,0,12,2.081665999,2.333,0.881917104
94,Kofiau dan Pulau Boo Marine Protected Area,2226,North Boo Kecil,2010,-1.17,129.45,Use,49.333,6.76592771,4,1.154700538,3.333,0.881917104,0,0,12,3.785938897,1,0
95,Kofiau dan Pulau Boo Marine Protected Area,2226,North Boo Kecil,2011,-1.17,129.45,Use,33.333,3.179797338,13.667,4.176654695,0.333,0.333333333,0.667,0.333333333,18,5.131601439,1.333,0.666666667
96,Kofiau dan Pulau Boo Marine Protected Area,2226,North Boo Kecil,2013,-1.17,129.45,Use,24.333,3.282952601,13.667,3.711842909,9,2.645751311,0,0,0.667,0.666666667,27.333,1.666666667
97,Kofiau dan Pulau Boo Marine Protected Area,2226,North Boo Kecil,2014,-1.17,129.45,Use,21.667,1.333333333,20,2,7.667,2.603416559,0,0,34.333,6.984108947,2.667,0.333333333
98,Kofiau dan Pulau Boo Marine Protected Area,2226,North Boo Kecil,2016,-1.17,129.45,Use,27,1.154700538,9.333,2.185812841,0,0,0,0,6.667,1.201850425,9,3.055050463
99,Kofiau dan Pulau Boo Marine Protected Area,2227,Tomna,2009,-1.15,129.44,Use,47,4.163331999,9.333,3.382963855,0,0,0,0,24,1,2.667,0.881917104
100,Kofiau dan Pulau Boo Marine Protected Area,2227,Tomna,2010,-1.15,129.44,Use,27.333,1.763834207,3,0.577350269,4.667,1.763834207,0,0,13.667,2.02758751,1.667,0.333333333
101,Kofiau dan Pulau Boo Marine Protected Area,2227,Tomna,2011,-1.15,129.44,Use,48.667,3.844187532,6.667,3.711842909,1,0.577350269,1,0.577350269,14.333,3.179797338,1.667,0.666666667
102,Kofiau dan Pulau Boo Marine Protected Area,2227,Tomna,2013,-1.15,129.44,Use,35,4.582575695,4.333,0.881917104,5.667,1.763834207,0,0,5.333,3.179797338,17.333,0.333333333
103,Kofiau dan Pulau Boo Marine Protected Area,2227,Tomna,2014,-1.15,129.44,Use,35.333,5.925462945,1,0.577350269,15,3.055050463,0.333,0.333333333,22,7.234178138,11.333,4.176654695
104,Kofiau dan Pulau Boo Marine Protected Area,2227,Tomna,2016,-1.15,129.44,Use,50,2.886751346,6,2.309401077,0,0,0,0,16,1.732050808,8,1.527525232
105,Kofiau dan Pulau Boo Marine Protected Area,2228,Taroiukoyer,2009,-1.15,129.42,Use,44.333,2.848001248,10.333,3.382963855,0,0,0,0,23,4.163331999,0.667,0.666666667
106,Kofiau dan Pulau Boo Marine Protected Area,2228,Taroiukoyer,2010,-1.15,129.42,Use,44.333,5.364492313,10,2.516611478,5,0.577350269,0,0,12.333,1.452966315,1.333,0.666666667
107,Kofiau dan Pulau Boo Marine Protected Area,2228,Taroiukoyer,2011,-1.15,129.42,Use,41.667,3.48010217,4.333,1.333333333,1.333,0.333333333,0,0,24.667,6.936217349,0.667,0.666666667
108,Kofiau dan Pulau Boo Marine Protected Area,2228,Taroiukoyer,2013,-1.15,129.42,Use,25.667,3.844187532,5.667,1.201850425,6.333,2.848001248,0,0,4,1.154700538,26.667,3.844187532
